Date,Close,Volume,Return,Log
2000-01-04,0.7711489796638489,512377600,-0.08430978655795929,-0.08807716644107991
2000-01-05,0.7824330925941467,778321600,0.014632857240136188,0.014526830053583076
2000-01-06,0.7147226333618164,767972800,-0.08653833774826314,-0.09051387202315013
2000-01-07,0.7485784888267517,460734400,0.047369222527190225,0.04628151779067901
2000-01-10,0.7354124188423157,505064000,-0.01758809554502594,-0.017744603935709386
2000-01-11,0.6977952718734741,441548800,-0.051151090197876115,-0.05250570295037645
2000-01-12,0.6559465527534485,976068800,-0.0599727754068442,-0.06184644180434328
2000-01-13,0.7278887033462524,1032684800,0.10967684835115676,0.10406884532680251
2000-01-14,0.7556312084197998,390376000,0.03811366345707712,0.03740528111587665
2000-01-18,0.7819629311561584,459177600,0.03484732028395765,0.03425389920182626
2000-01-19,0.8017124533653259,597643200,0.02525634070654359,0.024942669817645795
2000-01-20,0.8539060950279236,1831132800,0.06510269541592617,0.06307122213313224
2000-01-21,0.83744877576828,495924800,-0.019272984881441024,-0.01946113019202378
2000-01-24,0.7993615865707397,440876800,-0.04548002253940708,-0.04654670627046355
2000-01-25,0.844501256942749,497145600,0.05646965169499629,0.05493283233720718
2000-01-26,0.8289844989776611,367158400,-0.01837387195995588,-0.01854476813197702
2000-01-27,0.8275738954544067,340144000,-0.0017016042217846694,-0.001703053594654486
2000-01-28,0.7645653486251831,423348800,-0.07613646004943975,-0.07919090228300418
2000-01-31,0.7805526852607727,701680000,0.020910359937626577,0.020694738988955123
2000-02-01,0.7542206048965454,318035200,-0.033735173629477755,-0.034317334959652834
2000-02-02,0.7434055805206299,464195200,-0.014339338259525491,-0.01444314006474685
2000-02-03,0.7772611379623413,475193600,0.04554116666436814,0.04453461420880726
2000-02-04,0.8125272393226624,425320000,0.04537226890408319,0.044373060164742906
2000-02-07,0.8581375479698181,441067200,0.05613388258241936,0.05461495999631948
2000-02-08,0.8642508387565613,408643200,0.007123905487186777,0.007098650345052468
2000-02-09,0.8473225831985474,299364800,-0.01958720176930273,-0.019781573322504957
2000-02-10,0.8539060950279236,302982400,0.007769782087625021,0.007739752777943186
2000-02-11,0.8181694746017456,212251200,-0.041850761616837207,-0.04275173195062601
2000-02-14,0.8713037967681885,367539200,0.06494292908239663,0.06292121000945598
2000-02-15,0.8952845931053162,485744000,0.027522887454497935,0.027150942035059335
