Date,Open,High,Low,Close,Volume
2000-01-03,36.04179943176761,36.42563116160539,34.391322993465145,35.79230880737305,53228400
2000-01-04,34.87111432015168,35.965034802401895,34.468090984585814,34.5832405090332,54119000
2000-01-05,34.122619205749274,35.73471145169019,33.585255123768974,34.94785690307617,64059600
2000-01-06,34.44889666817405,34.96706948713823,33.27820992903276,33.777191162109375,54976600
2000-01-07,33.354976052858156,34.46808802700417,32.95195275187426,34.218597412109375,62013600
2000-01-10,34.83273791842046,34.909504282978965,34.19941541081282,34.46809768676758,44963600
2000-01-11,34.23779541015625,35.08222534179688,33.374173889160154,33.58528137207031,46743600
2000-01-12,33.31658629109292,33.43173578288241,32.069133463373426,32.49134826660156,66532400
2000-01-13,32.04994683749434,33.354974612913274,31.167133930593298,33.10548400878906,83144000
2000-01-14,32.913578804457906,34.98627064753747,32.47217220824651,34.46809768676758,73416400
2000-01-18,34.333737821501444,35.773106371871826,34.31454624082984,35.40846633911133,81483600
2000-01-19,33.93073975037191,34.23780526847483,32.54894491890881,32.85601043701172,97568200
2000-01-20,32.87518039064587,33.68122684505751,32.51054032793585,32.54892349243164,56349800
2000-01-21,32.85598287927099,32.93274919440947,31.704488152193733,31.858020782470703,68416200
2000-01-24,31.87243319529074,32.45297879466304,30.956034769835295,31.090375900268555,63597600
2000-01-25,31.013596406606194,31.896409175606124,30.57219002210623,31.570152282714844,59823200
2000-01-26,31.45499175329628,31.781248531701426,30.43783826768023,30.514604568481445,49365000
2000-01-27,30.672952670990664,31.071178084989135,29.86210815333113,30.32270622253418,63654800
2000-01-28,30.130792925982682,30.783306912914792,29.86211069606946,30.16917610168457,58225400
2000-01-31,29.977257398505472,30.149981672888664,29.132827612632077,30.05402374267578,73194200
2000-02-01,30.24593526056194,31.704495590385992,29.996444677828876,31.608537673950195,70196600
2000-02-02,31.45501309304376,31.915611210330553,30.86007385821499,30.956031799316406,49915600
2000-02-03,31.339860984010777,31.992374929789325,30.744921798153868,31.819650650024414,49186000
2000-02-04,32.04995870730045,33.16307104563783,31.977990237149324,32.72166442871094,55365400
2000-02-07,32.798419482822574,32.8176110682426,32.01156448060155,32.7408447265625,40005800
2000-02-08,32.68326322892771,33.777183372232976,32.68326322892771,33.757991790771484,56229000
2000-02-09,33.60448323763334,33.60448323763334,31.89643126267653,31.934814453125,55090000
2000-02-10,31.90120759156515,32.7216477326627,31.474194886549466,32.54892349243164,54527800
2000-02-11,32.20347877201846,32.20347877201846,30.437852999059164,30.68734359741211,115559000
2000-02-14,31.08557980452457,31.243910431712305,30.418672011218675,30.59139633178711,81028600
2000-02-15,30.62975954722209,30.70652586187678,30.130778501966592,30.265119552612305,71027600
2000-02-16,30.476234123435123,30.764107871452456,29.82372029459583,29.977252960205078,65202600
2000-02-17,30.24594769065024,30.61058792296138,29.828530582609858,30.59139633178711,80343400
2000-02-18,30.70654433311247,30.725735923320663,29.132833936040452,29.19040870666504,79063000
2000-02-22,29.209589483577517,29.82372014289058,28.49950090874679,28.80656623840332,66296200
2000-02-23,28.71062834762452,29.401525821230457,28.269221628376282,28.940927505493164,75847200
2000-02-24,28.940909690152374,29.439890891706725,28.25001264184635,29.09444236755371,69733200
2000-02-25,29.07524181342468,29.08003970811336,27.789406036857383,28.038896560668945,65301400
2000-02-28,27.712651645282836,28.2883992556419,27.0601376868759,28.11567497253418,76131800
2000-02-29,28.173253957041492,28.173253957041492,27.290440822147822,27.443973541259766,58437400
2000-03-01,27.520733940297788,28.892932320166192,27.309626497241112,27.885374069213867,106889800
2000-03-02,28.19244386297632,29.28636442130828,27.981336386806994,28.67223358154297,106932600
2000-03-03,29.094451418158602,30.361096400743342,28.825769149125474,29.516666412353516,101435200
2000-03-06,29.478285290948275,29.900500314646752,27.674275644236598,27.827808380126953,93609400
2000-03-07,29.51666024363378,29.938875149589528,28.230823939132176,28.51869773864746,135061000
